Vertex: (0.4268398, 1.455263): inDegree: 1, outDegree: 2.
Vertex: (0.1634094, 0.3105054): inDegree: 0, outDegree: 2.
Vertex: (-1.850916, -2.04903): inDegree: 1, outDegree: 2.
Vertex: (0.7509819, -1.436181): inDegree: 1, outDegree: 2.
Vertex: (0.1760105, -0.07724736): inDegree: 3, outDegree: 2.
Vertex: (-0.4222052, 2.233824): inDegree: 1, outDegree: 2.
Vertex: (0.332212, -0.7909408): inDegree: 4, outDegree: 2.
Vertex: (-0.7079324, -0.5300388): inDegree: 3, outDegree: 2.
Vertex: (-1.147426, -1.558705): inDegree: 3, outDegree: 2.
Vertex: (-1.092143, 0.02733219): inDegree: 2, outDegree: 2.
Vertex: (-0.531276, -0.09329864): inDegree: 3, outDegree: 2.
